annee;faits;codgeo;type_insecurite
21;414;93001;Cambriolages de logement
18;428;93005;Cambriolages de logement
19;345;93005;Cambriolages de logement
20;309;93005;Cambriolages de logement
21;319;93005;Cambriolages de logement
18;369;93029;Cambriolages de logement
19;341;93029;Cambriolages de logement
20;258;93029;Cambriolages de logement
21;210;93029;Cambriolages de logement
18;706;93048;Cambriolages de logement
19;664;93048;Cambriolages de logement
20;445;93048;Cambriolages de logement
21;487;93048;Cambriolages de logement
18;269;93051;Cambriolages de logement
19;238;93051;Cambriolages de logement
20;152;93051;Cambriolages de logement
21;193;93051;Cambriolages de logement
18;505;93066;Cambriolages de logement
19;451;93066;Cambriolages de logement
20;409;93066;Cambriolages de logement
21;356;93066;Cambriolages de logement
18;257;94017;Cambriolages de logement
19;238;94017;Cambriolages de logement
20;203;94017;Cambriolages de logement
21;191;94017;Cambriolages de logement
18;236;94028;Cambriolages de logement
19;200;94028;Cambriolages de logement
20;164;94028;Cambriolages de logement
21;194;94028;Cambriolages de logement
18;224;94033;Cambriolages de logement
19;397;94033;Cambriolages de logement
20;240;94033;Cambriolages de logement
21;301;94033;Cambriolages de logement
18;216;94041;Cambriolages de logement
19;209;94041;Cambriolages de logement
20;297;94041;Cambriolages de logement
21;299;94041;Cambriolages de logement
18;259;94046;Cambriolages de logement
19;248;94046;Cambriolages de logement
20;204;94046;Cambriolages de logement
21;159;94046;Cambriolages de logement
18;244;94068;Cambriolages de logement
19;267;94068;Cambriolages de logement
20;217;94068;Cambriolages de logement
21;262;94068;Cambriolages de logement
18;382;94081;Cambriolages de logement
19;314;94081;Cambriolages de logement
20;328;94081;Cambriolages de logement
21;367;94081;Cambriolages de logement
18;323;95018;Cambriolages de logement
19;401;95018;Cambriolages de logement
20;380;95018;Cambriolages de logement
21;364;95018;Cambriolages de logement
18;151;95127;Cambriolages de logement
19;170;95127;Cambriolages de logement
20;143;95127;Cambriolages de logement
21;116;95127;Cambriolages de logement
18;151;95585;Cambriolages de logement
19;225;95585;Cambriolages de logement
20;164;95585;Cambriolages de logement
21;120;95585;Cambriolages de logement
18;410;2691;Coups et blessures volontaires
19;412;2691;Coups et blessures volontaires
20;388;2691;Coups et blessures volontaires
21;426;2691;Coups et blessures volontaires
18;324;6004;Coups et blessures volontaires
19;399;6004;Coups et blessures volontaires
20;384;6004;Coups et blessures volontaires
21;439;6004;Coups et blessures volontaires
18;449;6029;Coups et blessures volontaires
19;501;6029;Coups et blessures volontaires
20;539;6029;Coups et blessures volontaires
21;560;6029;Coups et blessures volontaires
18;2178;6088;Coups et blessures volontaires
19;2511;6088;Coups et blessures volontaires
20;2553;6088;Coups et blessures volontaires
21;2661;6088;Coups et blessures volontaires
18;485;10387;Coups et blessures volontaires
19;487;10387;Coups et blessures volontaires
20;442;10387;Coups et blessures volontaires
21;527;10387;Coups et blessures volontaires
18;730;13001;Coups et blessures volontaires
19;789;13001;Coups et blessures volontaires
20;728;13001;Coups et blessures volontaires
21;835;13001;Coups et blessures volontaires
18;273;13004;Coups et blessures volontaires
19;328;13004;Coups et blessures volontaires
20;318;13004;Coups et blessures volontaires
21;354;13004;Coups et blessures volontaires
18;5715;13055;Coups et blessures volontaires
19;6050;13055;Coups et blessures volontaires
20;5866;13055;Coups et blessures volontaires
21;6674;13055;Coups et blessures volontaires
18;691;14118;Coups et blessures volontaires
19;652;14118;Coups et blessures volontaires
20;609;14118;Coups et blessures volontaires
21;723;14118;Coups et blessures volontaires
18;378;17300;Coups et blessures volontaires
19;414;17300;Coups et blessures volontaires
20;534;17300;Coups et blessures volontaires
21;540;17300;Coups et blessures volontaires
18;317;18033;Coups et blessures volontaires
19;372;18033;Coups et blessures volontaires
20;368;18033;Coups et blessures volontaires
21;394;18033;Coups et blessures volontaires
18;786;21231;Coups et blessures volontaires
19;789;21231;Coups et blessures volontaires
20;826;21231;Coups et blessures volontaires
21;836;21231;Coups et blessures volontaires
18;1005;25056;Coups et blessures volontaires
19;1008;25056;Coups et blessures volontaires
20;999;25056;Coups et blessures volontaires
21;999;25056;Coups et blessures volontaires
18;466;26362;Coups et blessures volontaires
19;484;26362;Coups et blessures volontaires
20;493;26362;Coups et blessures volontaires
21;564;26362;Coups et blessures volontaires
18;894;29019;Coups et blessures volontaires
19;910;29019;Coups et blessures volontaires
20;901;29019;Coups et blessures volontaires
21;920;29019;Coups et blessures volontaires
18;312;29232;Coups et blessures volontaires
19;372;29232;Coups et blessures volontaires
20;298;29232;Coups et blessures volontaires
21;323;29232;Coups et blessures volontaires
18;249;2A004;Coups et blessures volontaires
19;240;2A004;Coups et blessures volontaires
20;298;2A004;Coups et blessures volontaires
21;349;2A004;Coups et blessures volontaires
18;923;30189;Coups et blessures volontaires
19;961;30189;Coups et blessures volontaires
20;941;30189;Coups et blessures volontaires
21;1055;30189;Coups et blessures volontaires
18;2884;31555;Coups et blessures volontaires
19;3089;31555;Coups et blessures volontaires
20;3085;31555;Coups et blessures volontaires
21;3323;31555;Coups et blessures volontaires
18;1719;33063;Coups et blessures volontaires
19;1799;33063;Coups et blessures volontaires
20;1756;33063;Coups et blessures volontaires
21;1920;33063;Coups et blessures volontaires
18;218;33281;Coups et blessures volontaires
19;232;33281;Coups et blessures volontaires
20;208;33281;Coups et blessures volontaires
21;313;33281;Coups et blessures volontaires
18;169;33318;Coups et blessures volontaires
19;192;33318;Coups et blessures volontaires
20;184;33318;Coups et blessures volontaires
21;214;33318;Coups et blessures volontaires
18;556;34032;Coups et blessures volontaires
19;562;34032;Coups et blessures volontaires
20;589;34032;Coups et blessures volontaires
21;658;34032;Coups et blessures volontaires
18;1781;34172;Coups et blessures volontaires
19;1954;34172;Coups et blessures volontaires
20;1985;34172;Coups et blessures volontaires
21;1996;34172;Coups et blessures volontaires
18;1062;35238;Coups et blessures volontaires
19;1157;35238;Coups et blessures volontaires
20;1240;35238;Coups et blessures volontaires
21;1275;35238;Coups et blessures volontaires
18;700;37261;Coups et blessures volontaires
19;826;37261;Coups et blessures volontaires
20;739;37261;Coups et blessures volontaires
21;849;37261;Coups et blessures volontaires
18;1101;38185;Coups et blessures volontaires
19;1085;38185;Coups et blessures volontaires
20;1073;38185;Coups et blessures volontaires
21;1099;38185;Coups et blessures volontaires
18;889;42218;Coups et blessures volontaires
19;1026;42218;Coups et blessures volontaires
20;832;42218;Coups et blessures volontaires
21;1070;42218;Coups et blessures volontaires
18;1850;44109;Coups et blessures volontaires
19;1928;44109;Coups et blessures volontaires
20;1704;44109;Coups et blessures volontaires
21;1883;44109;Coups et blessures volontaires
18;349;44184;Coups et blessures volontaires
19;443;44184;Coups et blessures volontaires
20;424;44184;Coups et blessures volontaires
21;439;44184;Coups et blessures volontaires
18;747;45234;Coups et blessures volontaires
19;706;45234;Coups et blessures volontaires
20;837;45234;Coups et blessures volontaires
21;783;45234;Coups et blessures volontaires
18;627;49007;Coups et blessures volontaires
19;673;49007;Coups et blessures volontaires
20;662;49007;Coups et blessures volontaires
21;640;49007;Coups et blessures volontaires
18;234;49099;Coups et blessures volontaires
19;227;49099;Coups et blessures volontaires
20;220;49099;Coups et blessures volontaires
21;209;49099;Coups et blessures volontaires
18;1056;51454;Coups et blessures volontaires
19;1010;51454;Coups et blessures volontaires
20;901;51454;Coups et blessures volontaires
21;1254;51454;Coups et blessures volontaires
18;739;54395;Coups et blessures volontaires
19;712;54395;Coups et blessures volontaires
20;672;54395;Coups et blessures volontaires
21;830;54395;Coups et blessures volontaires
18;485;56121;Coups et blessures volontaires
19;435;56121;Coups et blessures volontaires
20;466;56121;Coups et blessures volontaires
21;511;56121;Coups et blessures volontaires
18;271;56260;Coups et blessures volontaires
19;301;56260;Coups et blessures volontaires
20;299;56260;Coups et blessures volontaires
21;292;56260;Coups et blessures volontaires
18;745;57463;Coups et blessures volontaires
19;854;57463;Coups et blessures volontaires
20;901;57463;Coups et blessures volontaires
21;945;57463;Coups et blessures volontaires
18;266;59009;Coups et blessures volontaires
19;348;59009;Coups et blessures volontaires
20;283;59009;Coups et blessures volontaires
21;304;59009;Coups et blessures volontaires
18;637;59183;Coups et blessures volontaires
19;664;59183;Coups et blessures volontaires
20;663;59183;Coups et blessures volontaires
21;695;59183;Coups et blessures volontaires
18;1923;59350;Coups et blessures volontaires
19;2121;59350;Coups et blessures volontaires
20;1741;59350;Coups et blessures volontaires
21;1990;59350;Coups et blessures volontaires
18;802;59512;Coups et blessures volontaires
19;808;59512;Coups et blessures volontaires
20;740;59512;Coups et blessures volontaires
21;1172;59512;Coups et blessures volontaires
18;521;59599;Coups et blessures volontaires
19;688;59599;Coups et blessures volontaires
20;706;59599;Coups et blessures volontaires
21;808;59599;Coups et blessures volontaires
18;357;60057;Coups et blessures volontaires
19;479;60057;Coups et blessures volontaires
20;389;60057;Coups et blessures volontaires
21;450;60057;Coups et blessures volontaires
18;596;62193;Coups et blessures volontaires
19;633;62193;Coups et blessures volontaires
20;569;62193;Coups et blessures volontaires
21;597;62193;Coups et blessures volontaires
18;702;63113;Coups et blessures volontaires
19;681;63113;Coups et blessures volontaires
20;713;63113;Coups et blessures volontaires
21;890;63113;Coups et blessures volontaires
18;466;64445;Coups et blessures volontaires
19;454;64445;Coups et blessures volontaires
20;458;64445;Coups et blessures volontaires
21;549;64445;Coups et blessures volontaires
18;974;66136;Coups et blessures volontaires
19;1040;66136;Coups et blessures volontaires
20;1065;66136;Coups et blessures volontaires
21;1249;66136;Coups et blessures volontaires
18;1801;67482;Coups et blessures volontaires
19;1864;67482;Coups et blessures volontaires
20;1811;67482;Coups et blessures volontaires
21;1997;67482;Coups et blessures volontaires
18;399;68066;Coups et blessures volontaires
19;430;68066;Coups et blessures volontaires
20;396;68066;Coups et blessures volontaires
21;488;68066;Coups et blessures volontaires
18;836;68224;Coups et blessures volontaires
19;1056;68224;Coups et blessures volontaires
20;1153;68224;Coups et blessures volontaires
21;1096;68224;Coups et blessures volontaires
18;3033;69123;Coups et blessures volontaires
19;3223;69123;Coups et blessures volontaires
20;3072;69123;Coups et blessures volontaires
21;3471;69123;Coups et blessures volontaires
18;427;69259;Coups et blessures volontaires
19;507;69259;Coups et blessures volontaires
20;489;69259;Coups et blessures volontaires
21;601;69259;Coups et blessures volontaires
18;678;69266;Coups et blessures volontaires
19;883;69266;Coups et blessures volontaires
20;857;69266;Coups et blessures volontaires
21;1070;69266;Coups et blessures volontaires
18;762;72181;Coups et blessures volontaires
19;912;72181;Coups et blessures volontaires
20;838;72181;Coups et blessures volontaires
21;1033;72181;Coups et blessures volontaires
18;385;73065;Coups et blessures volontaires
19;365;73065;Coups et blessures volontaires
20;365;73065;Coups et blessures volontaires
21;399;73065;Coups et blessures volontaires
18;494;74010;Coups et blessures volontaires
19;526;74010;Coups et blessures volontaires
20;525;74010;Coups et blessures volontaires
21;588;74010;Coups et blessures volontaires
18;11761;75056;Coups et blessures volontaires
19;12673;75056;Coups et blessures volontaires
20;11070;75056;Coups et blessures volontaires
21;12770;75056;Coups et blessures volontaires
18;914;76351;Coups et blessures volontaires
19;821;76351;Coups et blessures volontaires
20;842;76351;Coups et blessures volontaires
21;1041;76351;Coups et blessures volontaires
18;806;76540;Coups et blessures volontaires
19;871;76540;Coups et blessures volontaires
20;725;76540;Coups et blessures volontaires
21;830;76540;Coups et blessures volontaires
18;191;78586;Coups et blessures volontaires
19;213;78586;Coups et blessures volontaires
20;229;78586;Coups et blessures volontaires
21;219;78586;Coups et blessures volontaires
18;323;78646;Coups et blessures volontaires
19;307;78646;Coups et blessures volontaires
20;334;78646;Coups et blessures volontaires
21;334;78646;Coups et blessures volontaires
18;207;79191;Coups et blessures volontaires
19;248;79191;Coups et blessures volontaires
20;284;79191;Coups et blessures volontaires
21;298;79191;Coups et blessures volontaires
18;1099;80021;Coups et blessures volontaires
19;1042;80021;Coups et blessures volontaires
20;937;80021;Coups et blessures volontaires
21;1065;80021;Coups et blessures volontaires
18;353;82121;Coups et blessures volontaires
19;312;82121;Coups et blessures volontaires
20;318;82121;Coups et blessures volontaires
21;302;82121;Coups et blessures volontaires
18;249;83069;Coups et blessures volontaires
19;264;83069;Coups et blessures volontaires
20;310;83069;Coups et blessures volontaires
21;295;83069;Coups et blessures volontaires
18;339;83126;Coups et blessures volontaires
19;327;83126;Coups et blessures volontaires
20;361;83126;Coups et blessures volontaires
21;401;83126;Coups et blessures volontaires
18;1180;83137;Coups et blessures volontaires
19;1230;83137;Coups et blessures volontaires
20;1223;83137;Coups et blessures volontaires
21;1313;83137;Coups et blessures volontaires
18;693;84007;Coups et blessures volontaires
19;757;84007;Coups et blessures volontaires
20;619;84007;Coups et blessures volontaires
21;784;84007;Coups et blessures volontaires
18;487;86194;Coups et blessures volontaires
19;517;86194;Coups et blessures volontaires
20;463;86194;Coups et blessures volontaires
21;509;86194;Coups et blessures volontaires
18;573;87085;Coups et blessures volontaires
19;616;87085;Coups et blessures volontaires
20;550;87085;Coups et blessures volontaires
21;748;87085;Coups et blessures volontaires
18;205;92002;Coups et blessures volontaires
19;209;92002;Coups et blessures volontaires
20;195;92002;Coups et blessures volontaires
21;184;92002;Coups et blessures volontaires
18;383;92004;Coups et blessures volontaires
19;353;92004;Coups et blessures volontaires
20;351;92004;Coups et blessures volontaires
21;366;92004;Coups et blessures volontaires
18;253;92012;Coups et blessures volontaires
19;281;92012;Coups et blessures volontaires
20;340;92012;Coups et blessures volontaires
21;415;92012;Coups et blessures volontaires
18;311;92024;Coups et blessures volontaires
19;334;92024;Coups et blessures volontaires
20;405;92024;Coups et blessures volontaires
21;419;92024;Coups et blessures volontaires
18;339;92025;Coups et blessures volontaires
19;340;92025;Coups et blessures volontaires
20;361;92025;Coups et blessures volontaires
21;426;92025;Coups et blessures volontaires
18;245;92026;Coups et blessures volontaires
19;337;92026;Coups et blessures volontaires
20;390;92026;Coups et blessures volontaires
21;319;92026;Coups et blessures volontaires
18;123;92040;Coups et blessures volontaires
19;150;92040;Coups et blessures volontaires
20;162;92040;Coups et blessures volontaires
21;181;92040;Coups et blessures volontaires
18;185;92044;Coups et blessures volontaires
19;234;92044;Coups et blessures volontaires
20;325;92044;Coups et blessures volontaires
21;323;92044;Coups et blessures volontaires
18;559;92050;Coups et blessures volontaires
19;655;92050;Coups et blessures volontaires
20;552;92050;Coups et blessures volontaires
21;662;92050;Coups et blessures volontaires
18;163;92051;Coups et blessures volontaires
19;186;92051;Coups et blessures volontaires
20;207;92051;Coups et blessures volontaires
21;276;92051;Coups et blessures volontaires
18;200;92063;Coups et blessures volontaires
19;275;92063;Coups et blessures volontaires
20;273;92063;Coups et blessures volontaires
21;293;92063;Coups et blessures volontaires
18;577;93001;Coups et blessures volontaires
19;678;93001;Coups et blessures volontaires
20;669;93001;Coups et blessures volontaires
21;667;93001;Coups et blessures volontaires
18;525;93005;Coups et blessures volontaires
19;556;93005;Coups et blessures volontaires
20;554;93005;Coups et blessures volontaires
21;566;93005;Coups et blessures volontaires
18;439;93029;Coups et blessures volontaires
19;449;93029;Coups et blessures volontaires
20;466;93029;Coups et blessures volontaires
21;496;93029;Coups et blessures volontaires
18;633;93048;Coups et blessures volontaires
19;625;93048;Coups et blessures volontaires
20;616;93048;Coups et blessures volontaires
21;692;93048;Coups et blessures volontaires
18;287;93051;Coups et blessures volontaires
19;304;93051;Coups et blessures volontaires
20;362;93051;Coups et blessures volontaires
21;370;93051;Coups et blessures volontaires
18;1157;93066;Coups et blessures volontaires
19;1214;93066;Coups et blessures volontaires
20;1192;93066;Coups et blessures volontaires
21;1289;93066;Coups et blessures volontaires
18;322;94017;Coups et blessures volontaires
19;381;94017;Coups et blessures volontaires
20;372;94017;Coups et blessures volontaires
21;459;94017;Coups et blessures volontaires
18;465;94028;Coups et blessures volontaires
19;517;94028;Coups et blessures volontaires
20;511;94028;Coups et blessures volontaires
21;604;94028;Coups et blessures volontaires
18;194;94033;Coups et blessures volontaires
19;259;94033;Coups et blessures volontaires
20;231;94033;Coups et blessures volontaires
21;236;94033;Coups et blessures volontaires
18;332;94041;Coups et blessures volontaires
19;307;94041;Coups et blessures volontaires
20;339;94041;Coups et blessures volontaires
21;457;94041;Coups et blessures volontaires
18;179;94046;Coups et blessures volontaires
19;195;94046;Coups et blessures volontaires
20;226;94046;Coups et blessures volontaires
21;242;94046;Coups et blessures volontaires
18;275;94068;Coups et blessures volontaires
19;262;94068;Coups et blessures volontaires
20;261;94068;Coups et blessures volontaires
21;301;94068;Coups et blessures volontaires
18;427;94081;Coups et blessures volontaires
19;455;94081;Coups et blessures volontaires
20;454;94081;Coups et blessures volontaires
21;503;94081;Coups et blessures volontaires
18;558;95018;Coups et blessures volontaires
19;578;95018;Coups et blessures volontaires
20;698;95018;Coups et blessures volontaires
21;747;95018;Coups et blessures volontaires
18;313;95127;Coups et blessures volontaires
19;363;95127;Coups et blessures volontaires
20;354;95127;Coups et blessures volontaires
21;343;95127;Coups et blessures volontaires
18;319;95585;Coups et blessures volontaires
19;342;95585;Coups et blessures volontaires
20;361;95585;Coups et blessures volontaires
21;414;95585;Coups et blessures volontaires
18;175;2691;Coups et blessures volontaires intrafamiliaux
19;213;2691;Coups et blessures volontaires intrafamiliaux
20;214;2691;Coups et blessures volontaires intrafamiliaux
21;249;2691;Coups et blessures volontaires intrafamiliaux
18;125;6004;Coups et blessures volontaires intrafamiliaux
19;185;6004;Coups et blessures volontaires intrafamiliaux
20;163;6004;Coups et blessures volontaires intrafamiliaux
21;207;6004;Coups et blessures volontaires intrafamiliaux
18;191;6029;Coups et blessures volontaires intrafamiliaux
19;244;6029;Coups et blessures volontaires intrafamiliaux
20;254;6029;Coups et blessures volontaires intrafamiliaux
21;259;6029;Coups et blessures volontaires intrafamiliaux
18;909;6088;Coups et blessures volontaires intrafamiliaux
19;1102;6088;Coups et blessures volontaires intrafamiliaux
20;1229;6088;Coups et blessures volontaires intrafamiliaux
21;1283;6088;Coups et blessures volontaires intrafamiliaux
18;181;10387;Coups et blessures volontaires intrafamiliaux
19;189;10387;Coups et blessures volontaires intrafamiliaux
20;198;10387;Coups et blessures volontaires intrafamiliaux
21;249;10387;Coups et blessures volontaires intrafamiliaux
18;259;13001;Coups et blessures volontaires intrafamiliaux
19;235;13001;Coups et blessures volontaires intrafamiliaux
20;247;13001;Coups et blessures volontaires intrafamiliaux
21;312;13001;Coups et blessures volontaires intrafamiliaux
18;89;13004;Coups et blessures volontaires intrafamiliaux
19;134;13004;Coups et blessures volontaires intrafamiliaux
20;137;13004;Coups et blessures volontaires intrafamiliaux
21;163;13004;Coups et blessures volontaires intrafamiliaux
18;2280;13055;Coups et blessures volontaires intrafamiliaux
19;2592;13055;Coups et blessures volontaires intrafamiliaux
20;2616;13055;Coups et blessures volontaires intrafamiliaux
21;3148;13055;Coups et blessures volontaires intrafamiliaux
18;204;14118;Coups et blessures volontaires intrafamiliaux
19;199;14118;Coups et blessures volontaires intrafamiliaux
20;199;14118;Coups et blessures volontaires intrafamiliaux
21;233;14118;Coups et blessures volontaires intrafamiliaux
18;143;17300;Coups et blessures volontaires intrafamiliaux
19;157;17300;Coups et blessures volontaires intrafamiliaux
20;236;17300;Coups et blessures volontaires intrafamiliaux
21;257;17300;Coups et blessures volontaires intrafamiliaux
18;115;18033;Coups et blessures volontaires intrafamiliaux
19;130;18033;Coups et blessures volontaires intrafamiliaux
20;161;18033;Coups et blessures volontaires intrafamiliaux
21;188;18033;Coups et blessures volontaires intrafamiliaux
18;276;21231;Coups et blessures volontaires intrafamiliaux
19;295;21231;Coups et blessures volontaires intrafamiliaux
20;322;21231;Coups et blessures volontaires intrafamiliaux
21;342;21231;Coups et blessures volontaires intrafamiliaux
18;414;25056;Coups et blessures volontaires intrafamiliaux
19;430;25056;Coups et blessures volontaires intrafamiliaux
20;451;25056;Coups et blessures volontaires intrafamiliaux
21;446;25056;Coups et blessures volontaires intrafamiliaux
18;171;26362;Coups et blessures volontaires intrafamiliaux
19;195;26362;Coups et blessures volontaires intrafamiliaux
20;228;26362;Coups et blessures volontaires intrafamiliaux
21;257;26362;Coups et blessures volontaires intrafamiliaux
18;303;29019;Coups et blessures volontaires intrafamiliaux
19;348;29019;Coups et blessures volontaires intrafamiliaux
20;342;29019;Coups et blessures volontaires intrafamiliaux
21;377;29019;Coups et blessures volontaires intrafamiliaux
18;120;29232;Coups et blessures volontaires intrafamiliaux
19;143;29232;Coups et blessures volontaires intrafamiliaux
20;135;29232;Coups et blessures volontaires intrafamiliaux
21;138;29232;Coups et blessures volontaires intrafamiliaux
18;91;2A004;Coups et blessures volontaires intrafamiliaux
19;96;2A004;Coups et blessures volontaires intrafamiliaux
20;128;2A004;Coups et blessures volontaires intrafamiliaux
21;123;2A004;Coups et blessures volontaires intrafamiliaux
18;327;30189;Coups et blessures volontaires intrafamiliaux
19;402;30189;Coups et blessures volontaires intrafamiliaux
20;409;30189;Coups et blessures volontaires intrafamiliaux
21;451;30189;Coups et blessures volontaires intrafamiliaux
18;1055;31555;Coups et blessures volontaires intrafamiliaux
19;1127;31555;Coups et blessures volontaires intrafamiliaux
20;1246;31555;Coups et blessures volontaires intrafamiliaux
21;1385;31555;Coups et blessures volontaires intrafamiliaux
18;523;33063;Coups et blessures volontaires intrafamiliaux
19;515;33063;Coups et blessures volontaires intrafamiliaux
20;595;33063;Coups et blessures volontaires intrafamiliaux
21;770;33063;Coups et blessures volontaires intrafamiliaux
18;105;33281;Coups et blessures volontaires intrafamiliaux
19;111;33281;Coups et blessures volontaires intrafamiliaux
20;110;33281;Coups et blessures volontaires intrafamiliaux
21;175;33281;Coups et blessures volontaires intrafamiliaux
18;81;33318;Coups et blessures volontaires intrafamiliaux
19;102;33318;Coups et blessures volontaires intrafamiliaux
20;75;33318;Coups et blessures volontaires intrafamiliaux
21;127;33318;Coups et blessures volontaires intrafamiliaux
18;217;34032;Coups et blessures volontaires intrafamiliaux
19;251;34032;Coups et blessures volontaires intrafamiliaux
20;272;34032;Coups et blessures volontaires intrafamiliaux
21;322;34032;Coups et blessures volontaires intrafamiliaux
18;549;34172;Coups et blessures volontaires intrafamiliaux
19;618;34172;Coups et blessures volontaires intrafamiliaux
20;674;34172;Coups et blessures volontaires intrafamiliaux
21;734;34172;Coups et blessures volontaires intrafamiliaux
18;338;35238;Coups et blessures volontaires intrafamiliaux
19;348;35238;Coups et blessures volontaires intrafamiliaux
20;475;35238;Coups et blessures volontaires intrafamiliaux
21;498;35238;Coups et blessures volontaires intrafamiliaux
18;233;37261;Coups et blessures volontaires intrafamiliaux
19;327;37261;Coups et blessures volontaires intrafamiliaux
20;308;37261;Coups et blessures volontaires intrafamiliaux
21;400;37261;Coups et blessures volontaires intrafamiliaux
18;325;38185;Coups et blessures volontaires intrafamiliaux
19;357;38185;Coups et blessures volontaires intrafamiliaux
20;440;38185;Coups et blessures volontaires intrafamiliaux
21;457;38185;Coups et blessures volontaires intrafamiliaux
18;336;42218;Coups et blessures volontaires intrafamiliaux
19;407;42218;Coups et blessures volontaires intrafamiliaux
20;337;42218;Coups et blessures volontaires intrafamiliaux
21;476;42218;Coups et blessures volontaires intrafamiliaux
18;587;44109;Coups et blessures volontaires intrafamiliaux
19;567;44109;Coups et blessures volontaires intrafamiliaux
20;633;44109;Coups et blessures volontaires intrafamiliaux
21;656;44109;Coups et blessures volontaires intrafamiliaux
18;152;44184;Coups et blessures volontaires intrafamiliaux
19;191;44184;Coups et blessures volontaires intrafamiliaux
20;190;44184;Coups et blessures volontaires intrafamiliaux
21;206;44184;Coups et blessures volontaires intrafamiliaux
18;250;45234;Coups et blessures volontaires intrafamiliaux
19;278;45234;Coups et blessures volontaires intrafamiliaux
20;367;45234;Coups et blessures volontaires intrafamiliaux
21;351;45234;Coups et blessures volontaires intrafamiliaux
18;218;49007;Coups et blessures volontaires intrafamiliaux
19;264;49007;Coups et blessures volontaires intrafamiliaux
20;249;49007;Coups et blessures volontaires intrafamiliaux
21;286;49007;Coups et blessures volontaires intrafamiliaux
18;82;49099;Coups et blessures volontaires intrafamiliaux
19;92;49099;Coups et blessures volontaires intrafamiliaux
20;111;49099;Coups et blessures volontaires intrafamiliaux
21;116;49099;Coups et blessures volontaires intrafamiliaux
18;400;51454;Coups et blessures volontaires intrafamiliaux
19;434;51454;Coups et blessures volontaires intrafamiliaux
20;426;51454;Coups et blessures volontaires intrafamiliaux
21;641;51454;Coups et blessures volontaires intrafamiliaux
18;223;54395;Coups et blessures volontaires intrafamiliaux
19;246;54395;Coups et blessures volontaires intrafamiliaux
20;272;54395;Coups et blessures volontaires intrafamiliaux
21;332;54395;Coups et blessures volontaires intrafamiliaux
18;161;56121;Coups et blessures volontaires intrafamiliaux
19;147;56121;Coups et blessures volontaires intrafamiliaux
20;176;56121;Coups et blessures volontaires intrafamiliaux
21;217;56121;Coups et blessures volontaires intrafamiliaux
18;77;56260;Coups et blessures volontaires intrafamiliaux
19;106;56260;Coups et blessures volontaires intrafamiliaux
20;123;56260;Coups et blessures volontaires intrafamiliaux
21;147;56260;Coups et blessures volontaires intrafamiliaux
18;257;57463;Coups et blessures volontaires intrafamiliaux
19;284;57463;Coups et blessures volontaires intrafamiliaux
20;339;57463;Coups et blessures volontaires intrafamiliaux
21;426;57463;Coups et blessures volontaires intrafamiliaux
18;110;59009;Coups et blessures volontaires intrafamiliaux
19;140;59009;Coups et blessures volontaires intrafamiliaux
20;142;59009;Coups et blessures volontaires intrafamiliaux
21;142;59009;Coups et blessures volontaires intrafamiliaux
18;255;59183;Coups et blessures volontaires intrafamiliaux
19;232;59183;Coups et blessures volontaires intrafamiliaux
20;295;59183;Coups et blessures volontaires intrafamiliaux
21;320;59183;Coups et blessures volontaires intrafamiliaux
18;584;59350;Coups et blessures volontaires intrafamiliaux
19;726;59350;Coups et blessures volontaires intrafamiliaux
20;588;59350;Coups et blessures volontaires intrafamiliaux
21;792;59350;Coups et blessures volontaires intrafamiliaux
18;308;59512;Coups et blessures volontaires intrafamiliaux
19;362;59512;Coups et blessures volontaires intrafamiliaux
20;405;59512;Coups et blessures volontaires intrafamiliaux
21;584;59512;Coups et blessures volontaires intrafamiliaux
18;241;59599;Coups et blessures volontaires intrafamiliaux
19;374;59599;Coups et blessures volontaires intrafamiliaux
20;393;59599;Coups et blessures volontaires intrafamiliaux
21;446;59599;Coups et blessures volontaires intrafamiliaux
18;153;60057;Coups et blessures volontaires intrafamiliaux
19;215;60057;Coups et blessures volontaires intrafamiliaux
20;174;60057;Coups et blessures volontaires intrafamiliaux
21;212;60057;Coups et blessures volontaires intrafamiliaux
18;251;62193;Coups et blessures volontaires intrafamiliaux
19;250;62193;Coups et blessures volontaires intrafamiliaux
20;213;62193;Coups et blessures volontaires intrafamiliaux
21;252;62193;Coups et blessures volontaires intrafamiliaux
18;235;63113;Coups et blessures volontaires intrafamiliaux
19;231;63113;Coups et blessures volontaires intrafamiliaux
20;277;63113;Coups et blessures volontaires intrafamiliaux
21;301;63113;Coups et blessures volontaires intrafamiliaux
18;183;64445;Coups et blessures volontaires intrafamiliaux
19;185;64445;Coups et blessures volontaires intrafamiliaux
20;227;64445;Coups et blessures volontaires intrafamiliaux
21;289;64445;Coups et blessures volontaires intrafamiliaux
18;347;66136;Coups et blessures volontaires intrafamiliaux
19;397;66136;Coups et blessures volontaires intrafamiliaux
20;428;66136;Coups et blessures volontaires intrafamiliaux
21;525;66136;Coups et blessures volontaires intrafamiliaux
18;686;67482;Coups et blessures volontaires intrafamiliaux
19;764;67482;Coups et blessures volontaires intrafamiliaux
20;809;67482;Coups et blessures volontaires intrafamiliaux
21;916;67482;Coups et blessures volontaires intrafamiliaux
18;142;68066;Coups et blessures volontaires intrafamiliaux
19;152;68066;Coups et blessures volontaires intrafamiliaux
20;165;68066;Coups et blessures volontaires intrafamiliaux
21;241;68066;Coups et blessures volontaires intrafamiliaux
